2025-04-22 17:52:55,362 - INFO - __main__ - --- Starting Post-Intervention Analysis Pipeline ---
2025-04-22 17:52:55,362 - INFO - __main__ - Loading podcast data from podcast_rss_export.csv
2025-04-22 17:52:55,374 - INFO - __main__ - Loaded 6050 podcasts with valid data.
2025-04-22 17:52:55,374 - INFO - __main__ - Fetching RSS feeds and filtering post-intervention episodes...
2025-04-22 17:52:55,396 - WARNING - __main__ - Skipping 00039b57f2c24fec8fda832154c7dc32: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,396 - WARNING - __main__ - Skipping 000acb023f5a41299cbbfaf50bb83a93: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,396 - WARNING - __main__ - Skipping 0013a5f6fa4b4c67ac1f468eb533dc1f: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,396 - WARNING - __main__ - Skipping 0017187a6a244d86ab77cf10aacf3763: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,396 - WARNING - __main__ - Skipping 00281949487c4b7683546b487cecdcf6: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,396 - WARNING - __main__ - Skipping 003c82cc74bf4d02835c7afb65470b9e: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,396 - WARNING - __main__ - Skipping 003d77dcc0584d698cce0296fa8c7fea: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,396 - WARNING - __main__ - Skipping 004269d5d96343a29b5b3e9909da6971: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,396 - WARNING - __main__ - Skipping 0043f360f4c0461dabfdf40bfd63bb24: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,396 - WARNING - __main__ - Skipping 0049bbc63a6c4fd7970b1650ae81c72c: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,396 - WARNING - __main__ - Skipping 004a84782f124a8cadf3efc33729de43: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,397 - WARNING - __main__ - Skipping 004ed14f6e49458aa1ab630259d1d63d: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,397 - WARNING - __main__ - Skipping 00563abf85504d7fa1d3f89ca8dcc02f: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,397 - WARNING - __main__ - Skipping 005ea3d25172437a86929c47a16a120f: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,397 - WARNING - __main__ - Skipping 007ae3b781a94d37a5d1c204e66d9fc2: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,397 - WARNING - __main__ - Skipping 0080271e92d24d728ff5065d6a8d938f: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,397 - WARNING - __main__ - Skipping 0087a3357de149738c8926855e75e384: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,397 - WARNING - __main__ - Skipping 008b69bf31ab4265945de3fadd242b7b: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,397 - WARNING - __main__ - Skipping 009df88b84dd4cae83c72787f96488b4: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,397 - WARNING - __main__ - Skipping 00ac96b8154b49b8b1492d39ee8430cc: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,397 - WARNING - __main__ - Skipping 00aebfcaa77e4c5e903d0eed16261556: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,398 - WARNING - __main__ - Skipping 00b54c52603b4a73b9d332ea5ef7d041: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,398 - WARNING - __main__ - Skipping 00bcefd310fb4e429cc07523e52f60e2: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,398 - WARNING - __main__ - Skipping 00cd1bd78113425fbdc5a4f06e417bf5: Missing essential info (rss, id, or timestamp).
2025-04-22 17:52:55,398 - WARNING - __main__ - Skipping 00d328bf074546e9883bbc682bb3ed79: Missing essential info (rss, id, or timestamp).
